"indicateurs","sexe","zones-géographiques","culture","Unit","Date","Value"
"Nombre d'exploitations de Manioc","Total","GLAZOUE","Manioc","Nombre","2019","8240"
"Nombre d'exploitations de Manioc","Total","OUESSE","Manioc","Nombre","2019","9011"
"Nombre d'exploitations de Manioc","Total","SAVALOU","Manioc","Nombre","2019","11550"
"Nombre d'exploitations de Manioc","Total","SAVE","Manioc","Nombre","2019","6405"
"Nombre d'exploitations de Manioc","Total","COUFFO","Manioc","Nombre","2019","79318"
"Nombre d'exploitations de Manioc","Total","APLAHOUE","Manioc","Nombre","2019","18118"
"Nombre d'exploitations de Manioc","Total","DJAKOTOMEY","Manioc","Nombre","2019","16192"
"Nombre d'exploitations de Manioc","Total","DOGBO","Manioc","Nombre","2019","11776"
"Nombre d'exploitations de Manioc","Total","KLOUEKANMEY","Manioc","Nombre","2019","10587"
"Nombre d'exploitations de Manioc","Total","LALO","Manioc","Nombre","2019","13345"
"Nombre d'exploitations de Manioc","Total","TOVIKLIN","Manioc","Nombre","2019","9300"
"Nombre d'exploitations de Manioc","Total","DONGA","Manioc","Nombre","2019","34890"
"Nombre d'exploitations de Manioc","Total","BASSILA","Manioc","Nombre","2019","7639"
"Nombre d'exploitations de Manioc","Total","COPARGO","Manioc","Nombre","2019","5215"
"Nombre d'exploitations de Manioc","Total","DJOUGOU","Manioc","Nombre","2019","17035"
"Nombre d'exploitations de Manioc","Total","OUAKE","Manioc","Nombre","2019","5001"
"Nombre d'exploitations de Manioc","Total","LITTORAL","Manioc","Nombre","2019","27"
"Nombre d'exploitations de Manioc","Total","COTONOU","Manioc","Nombre","2019","27"
"Nombre d'exploitations de Manioc","Total","MONO","Manioc","Nombre","2019","38516"
"Nombre d'exploitations de Manioc","Total","ATHIEME","Manioc","Nombre","2019","4095"
"Nombre d'exploitations de Manioc","Total","BOPA","Manioc","Nombre","2019","7094"
"Nombre d'exploitations de Manioc","Total","COME","Manioc","Nombre","2019","4305"
"Nombre d'exploitations de Manioc","Total","GRAND POPO","Manioc","Nombre","2019","2639"
"Nombre d'exploitations de Manioc","Total","HOUEYOGBE","Manioc","Nombre","2019","10079"
"Nombre d'exploitations de Manioc","Total","LOKOSSA","Manioc","Nombre","2019","10304"
"Nombre d'exploitations de Manioc","Total","OUEME","Manioc","Nombre","2019","34099"
"Nombre d'exploitations de Manioc","Total","ADJARRA","Manioc","Nombre","2019","2605"
"Nombre d'exploitations de Manioc","Total","ADJOHOUN","Manioc","Nombre","2019","6380"
"Nombre d'exploitations de Manioc","Total","AGUEGUES","Manioc","Nombre","2019","424"
"Nombre d'exploitations de Manioc","Total","AKPRO MISSERETE","Manioc","Nombre","2019","5109"
"Nombre d'exploitations de Manioc","Total","AVRANKOU","Manioc","Nombre","2019","4380"
"Nombre d'exploitations de Manioc","Total","BONOU","Manioc","Nombre","2019","4851"
"Nombre d'exploitations de Manioc","Total","DANGBO","Manioc","Nombre","2019","8238"
"Nombre d'exploitations de Manioc","Total","PORTO NOVO","Manioc","Nombre","2019","140"
"Nombre d'exploitations de Manioc","Total","SEME PODJI","Manioc","Nombre","2019","1972"
"Nombre d'exploitations de Manioc","Total","PLATEAU","Manioc","Nombre","2019","42252"
"Nombre d'exploitations de Manioc","Total","ADJA OUERE","Manioc","Nombre","2019","8195"
"Nombre d'exploitations de Manioc","Total","IFANGNI","Manioc","Nombre","2019","6167"
"Nombre d'exploitations de Manioc","Total","KETOU","Manioc","Nombre","2019","15677"
